frame,divergence,vorticity,cfl,max_speed,kinetic_energy,rhs_ms,pressure_ms,projection_ms,advection_ms,diffusion_ms,walls_ms,total_ms
1,1143.8786525197634,40499.386183004724,1.9734306739945617,19.734306739945616,801.7250129342381,0.1598999951966107,0.22899999748915434,0.0957999873207882,0.717700007953681,0.0951000110944733,0.013800003216601908,1.3169999874662608
2,1020.7950568383555,36912.90780764115,1.8342427769459935,18.342427769459935,689.4644221870566,0.07110000296961516,0.0746000005165115,0.02169999061152339,0.19859999883919954,0.028599999495781958,0.003000008291564882,0.39939999987836927
3,916.9492386545129,34006.04445142989,1.7117671700909312,17.117671700909312,599.5533648000132,0.029700007871724665,0.06599999323952943,0.021100000594742596,0.1914000022225082,0.027699992642737925,0.002700006007216871,0.3397999971639365
4,824.365502433956,31569.14988824466,1.5890911461577801,15.890911461577803,526.3823450621802,0.028800001018680632,0.0610999995842576,0.02030000905506313,0.19049999536946416,0.027400004910305142,0.0026000052457675338,0.33179999445565045
5,742.7139232723865,29511.935298228113,1.482431400456219,14.824314004562188,466.2207769722611,0.028299997211433947,0.06750000466126949,0.0202999945031479,0.18980000459123403,0.027000001864507794,0.0026999914553016424,0.3367000026628375
6,670.724191124445,27737.5492342782,1.3978764149579588,13.978764149579588,416.273105968242,0.027999994927085936,0.059999991208314896,0.020100007532164454,0.18859999545384198,0.026699999580159783,0.002700006007216871,0.32729998929426074
7,608.39014468244,26164.123967870815,1.3307742214882814,13.307742214882815,374.3616953107773,0.028000009479001164,0.060999998822808266,0.020199993741698563,0.18930000078398734,0.02710000262595713,0.0025999906938523054,0.3291000030003488
8,553.8630157367777,24788.581596730022,1.2759867458263752,12.759867458263752,338.7829140781774,0.028099995688535273,0.05980000423733145,0.020099992980249226,0.23750000400468707,0.02819999644998461,0.0026999914553016424,0.37769999471493065
9,505.9655083509765,23555.24947111585,1.2239318152957226,12.239318152957226,308.2414182177278,0.028599999495781958,0.0610999995842576,0.021899992134422064,0.18950000230688602,0.026900001103058457,0.0025999906938523054,0.3316999936942011
10,463.7442584607186,22425.5146219054,1.1797379272491304,11.797379272491304,281.73768882895126,0.028099995688535273,0.05970000347588211,0.01999999221879989,0.1939000067068264,0.026900001103058457,0.0026999914553016424,0.33239999902434647
11,426.64454960862463,21396.733935466404,1.144503072587063,11.445030725870632,258.47997370167525,0.027999994927085936,0.06010000652167946,0.020099992980249226,0.6451999943237752,0.09540001337882131,0.01270000939257443,0.865699999849312
12,393.7875349425167,20451.563977382175,1.112463008288402,11.124630082884021,237.90474840990694,0.17250000382773578,0.11470000026747584,0.035200006095692515,0.23100001271814108,0.0312999909510836,0.0045000051613897085,0.5930000043008476
13,364.56396167408184,19574.4598076161,1.0826084611840208,10.826084611840207,219.57314774894257,0.03309999010525644,0.06740000389982015,0.02099999983329326,0.2052000054391101,0.027999994927085936,0.0027999922167509794,0.3588999970816076
14,338.203042836508,18763.572655305383,1.0541772808254297,10.541772808254297,203.14023491201047,0.03290000313427299,0.06930000381544232,0.021100000594742596,0.19169998995494097,0.027400004910305142,0.0027999922167509794,0.34640000376384705
15,314.2904756042827,18009.598482353358,1.0263865682492765,10.263865682492765,188.32477499687712,0.02849999873433262,0.061700004152953625,0.02060001133941114,0.21410000044852495,0.02780000795610249,0.0028999929782003164,0.3566999948816374
16,292.51501980594253,17306.669466402098,0.9990701620453943,9.990701620453944,174.91358472987105,0.028700000257231295,0.062700011767447,0.020099992980249226,0.1900000061141327,0.02710000262595713,0.002700006007216871,0.33239999902434647
