frame,divergence,vorticity,cfl,max_speed,kinetic_energy,rhs_ms,pressure_ms,projection_ms,advection_ms,diffusion_ms,walls_ms,total_ms
1,731.618443174138,16295.266351515564,2.0578761749944254,20.578761749944256,205.62993416651472,0.13359999866224825,0.2294000005349517,0.04129999433644116,0.7040000054985285,0.05950000195298344,0.00969998654909432,1.1834000033559278
2,437.87672974083364,13348.558607644954,1.7689723633468262,17.68972363346826,164.53815404999494,0.053099996875971556,0.10989999282173812,0.03270000161137432,0.2677000011317432,0.04569999873638153,0.00449999060947448,0.5169000069145113
3,322.59829316078765,11649.359632793643,1.5944923852947397,15.9449238529474,139.61502031282234,0.03859998832922429,0.08270000398624688,0.02680000034160912,0.22029998945072293,0.036600002204068005,0.0033999967854470015,0.41029999556485564
4,262.4501685625024,10591.820034993485,1.4760772479743882,14.760772479743883,122.03862647492547,0.03470000228844583,0.07309998909477144,0.025300003471784294,0.21189999824855477,0.03460000152699649,0.0030999945010989904,0.38409999979194254
5,224.48984283799268,9735.352373642387,1.3464016623993158,13.464016623993158,108.7271823747024,0.03619999915827066,0.07119998917914927,0.025900008040480316,0.21359999664127827,0.03369999467395246,0.003300010575912893,0.38499999209307134
6,193.96396827511654,9073.189862789652,1.2749640752017934,12.749640752017934,98.19504168595768,0.08120000711642206,0.11870000162161887,0.04169999738223851,0.35940000088885427,0.05420000525191426,0.006199989002197981,0.6642999942414463
7,170.4060145654753,8519.346503499324,1.1968851151056883,11.968851151056883,89.62100408978188,0.05200000305194408,0.09889999637380242,0.03650000144261867,0.2933999930974096,0.048600006266497076,0.004599991370923817,0.5358999915188178
8,151.03203446826322,8054.1129072729245,1.1339641087591068,11.339641087591069,82.46084566839137,0.047900000936351717,0.09499999578110874,0.036299999919719994,0.29460000223480165,0.050099988584406674,0.0050000089686363935,0.530699995579198
9,135.65340717386715,7644.866542757958,1.0760931713779227,10.760931713779229,76.32673263311862,0.051099996198900044,0.09869999485090375,0.036299999919719994,0.7956000044941902,0.3665999975055456,0.012499993317760527,1.3660999975400046
10,122.67293900169908,7291.8763075611105,1.028702189713539,10.287021897135393,70.97097146484366,0.056899996707215905,0.10010000551119447,0.030099996365606785,0.2666000073077157,0.03819999983534217,0.0047000066842883825,0.49920000310521573
11,111.58676849927994,6970.805435200484,0.986502001402358,9.86502001402358,66.22318638623074,0.03609999839682132,0.08769999840296805,0.025999994250014424,0.2145000034943223,0.034199998481199145,0.0030999945010989904,0.4028999974252656
12,101.95307553474579,6682.117973001805,0.9470630043941453,9.470630043941453,61.96790239744095,0.03650000144261867,0.07059999916236848,0.0295999925583601,0.21510000806301832,0.03329999162815511,0.0032999960239976645,0.39000000106170774
13,93.66422052449519,6424.366129716682,0.9164108470529465,9.164108470529465,58.12505800517361,0.03399999695830047,0.06810000922996551,0.02409999433439225,0.2089000045089051,0.033200005418621004,0.0029999937396496534,0.3727000002982095
14,86.43810415587419,6195.2699367683035,0.887667268774179,8.87667268774179,54.635113587366625,0.033200005418621004,0.06720000237692147,0.024100008886307478,0.2111999929184094,0.03440000000409782,0.0029999937396496534,0.374099996406585
15,79.89817536899659,5986.07202397755,0.8592597664878848,8.592597664878848,51.4520602691608,0.0354999938281253,0.0678999931551516,0.02440001117065549,0.2182000025641173,0.03360000846441835,0.0029999937396496534,0.3834999952232465
16,74.10931255942685,5794.759169231872,0.8310848286636607,8.310848286636608,48.53887900805905,0.03340000694151968,0.06729998858645558,0.02400000812485814,0.2086999884340912,0.033800009987317026,0.0028999929782003164,0.371300004189834
17,68.88883793353422,5616.1090412438225,0.8032541949300775,8.032541949300775,45.866235250601285,0.0337999954354018,0.06679999933112413,0.024199995095841587,0.2094000083161518,0.033499993151053786,0.003000008291564882,0.37179999344516546
18,64.15318892990823,5452.178575946321,0.7759997507840445,7.7599975078404455,43.40977384726121,0.033200005418621004,0.0670000008540228,0.024199995095841587,0.20750000840052962,0.033499993151053786,0.0028999929782003164,0.3693999897222966
19,59.87251224994298,5300.446403417825,0.7495606424882889,7.495606424882889,41.148368851037255,0.03309999010525644,0.06720000237692147,0.024199995095841587,0.20730000687763095,0.033499993151053786,0.002900007530115545,0.36920000275131315
20,56.00544369772437,5156.246514693275,0.7241303282154322,7.241303282154322,39.06325381601327,0.03290000313427299,0.06679999933112413,0.023899992811493576,0.21260000357870013,0.033499993151053786,0.002900007530115545,0.37370000791270286
21,52.5068820127274,5019.3615094221395,0.7003705394431743,7.0037053944317424,37.137551902226726,0.03290000313427299,0.06649999704677612,0.02379999205004424,0.20789999689441174,0.03360000846441835,0.0028999929782003164,0.3687999997055158
22,49.29133661336914,4888.737536235925,0.6788534825103396,6.788534825103397,35.356263665571895,0.032899988582357764,0.06750000466126949,0.023899992811493576,0.2077000099234283,0.03339999238960445,0.0028999929782003164,0.36979999276809394
23,46.3420197086922,4765.117976959419,0.6583155005022723,6.583155005022722,33.705936679116284,0.03270000161137432,0.06639999628532678,0.023899992811493576,0.20740000763908029,0.03329999162815511,0.003000008291564882,0.36780000664293766
24,43.634095809054585,4650.297411691423,0.6387508666463361,6.3875086664633605,32.174449625416145,0.03300000389572233,0.06649999704677612,0.0236999912885949,0.21389999892562628,0.03330000618007034,0.0029999937396496534,0.37460000021383166
25,41.14228055690504,4542.636974420855,0.6201396633508632,6.201396633508632,30.75074208542769,0.032800002372823656,0.06659999780822545,0.023900007363408804,0.20719999156426638,0.03310000465717167,0.0028999929782003164,0.3677000058814883
26,38.82636722908018,4440.446929485447,0.6024493645840848,6.024493645840849,29.425033253459926,0.032800002372823656,0.06590000702999532,0.02409999433439225,0.20640000002458692,0.03310000465717167,0.0027999922167509794,0.36619999445974827
